"commodity_code_group","commodity_code_names","commodity_code_names_arm","commodity_code_names_rus"
"01-21, 23","01–21 & 23 — Animals, Food, Agricultural Products","01–21 & 23 — կենդանիներ, սնունդ, գյուղատնտեսական ապրանքներ","01–21 и 23 — Животные, продукты питания, сельскохозяйственная продукция"
"22","22 — Alcoholic & Non-Alcoholic Beverages","22 — ալկոհոլային և ոչ ալկոհոլային խմիչքներ","22 — Алкогольные и безалкогольные напитки"
"24","24 — Cigarettes","24 — ծխախոտ","24 — Сигареты"
"25-26","25–26 — Ore & Concentrate","25–26 — հանքաքար և խտանյութ","25–26 — Руда и концентрат"
"27","27 —  Electrical Energy & Mineral Fuels","27 — էլեկտաէներգիա և հանքային վառելանյութեր","27 — Электроэнергия и минеральное топливо"
"28-40","28–40 — Chemicals & Plastics","28–40 — քիմիական նյութեր և պլաստմասսա","28–40 — Химия и пластмассы"
"41-59","41–49 — Fur, Leather Products & Wood Products","41–49 — մորթի, կաշվե իրեր և փայտանյութեր","41–49 — Меха, кожаные изделия и изделия из дерева"
"50-67","50–67 — Textile, Footwear (Light Industry)","50–67 — տեքստիլ, կոշկեղեն (թեթև արդյունաբերություն)","50–67 — Текстиль, Обувь (Легкая промышленность)"
"68-70","68–70 — Ceramics, Glass, Products Made of Stone, Gypsum","68–70 — կերամիկա, ապակի, քարից, գիպսից պատրաստված իրեր","68–70 — Керамика, стекло, изделия из камня, гипса"
"71","71 — Precious Stones, Metals","71 — թանկարժեք քարեր, մետաղներ","71 — Драгоценные камни, металлы"
"72-83","72–83 — Metals & Products Thereof","72–83 — մետաղներ և դրանցից արտադրանք","72–83 — Металлы и изделия из них"
"84-89","84–89 — Transportation & Machinery","84–89 — տրանսպորտ և տեխնիկա","84–89 — Транспорт и машиностроение"
"90-97","90–97 — Miscellaneous","90–97 — այլ","90–97 — Разное"
"TOTAL","TOTAL","Ընդամենը","Всего"
