country,city,info_entries,info_contributers,last_update,usd_ammount,other_currency
Armenia,Yerevan,2363,4,2023-12-01,3213.9,"(1,300,000.0AMD)"
Azerbaijan,Baku,2677,6,2023-12-01,2271.4,"(3,861.4man)"
Belarus,Grodno,69,3,2023-10-01,1711.4,"(5,598.4BYN)"
Belarus,Minsk,2053,0,2023-12-01,1931.8,"(6,319.4BYN)"
Bulgaria,Burgas,617,4,2023-12-01,2532.5,"(4,531.5лв)"
Bulgaria,Plovdiv,1408,5,2023-12-01,2426.2,"(4,341.3лв)"
Bulgaria,Sofia,4738,0,2023-12-01,2924.9,"(5,233.6лв)"
Bulgaria,Varna,1497,2,2023-12-01,2620.2,"(4,688.5лв)"
Cyprus,Larnaca,649,0,2023-12-01,4462.3,"(4,081.7€)"
Cyprus,Limassol,1489,8,2023-12-01,5252.4,"(4,804.4€)"
Cyprus,Nicosia,803,2,2023-12-01,3902.1,"(3,569.3€)"
Cyprus,Paphos,649,6,2023-12-01,4036.9,"(3,692.6€)"
Georgia,"Batumi, Ajara",1912,4,2023-12-01,2523.7,"(6,776.0GEL)"
Georgia,Tbilisi,4109,6,2023-12-01,3003.6,"(8,064.6GEL)"
Iran,Isfahan (Esfahan),606,2,2023-12-01,1929.9,"(1,300,000.0AMD)"
Iran,Kerman,119,1,2023-12-01,1519.9,"(1,300,000.0AMD)"
Iran,Mashhad,506,9,2023-12-01,1692.8,"(1,300,000.0AMD)"
Iran,Shiraz,329,1,2023-12-01,2123.3,"(1,300,000.0AMD)"
Iran,Tehran,3464,5,2023-12-01,2170.4,"(1,300,000.0AMD)"
Ireland,Cork,1240,7,2023-12-01,5734.3,"(5,245.2€)"
Ireland,Dublin,3917,9,2023-12-01,6717.1,"(6,144.2€)"
Ireland,Galway,565,7,2023-12-01,5333.6,"(4,878.8€)"
Ireland,Waterford,347,8,2023-12-01,5624,"(5,144.3€)"
Kazakhstan,Almaty,2462,7,2023-12-01,2833.1,"(1,288,111.7₸)"
Kazakhstan,Astana,1817,4,2023-12-01,2382.5,"(1,083,210.1₸)"
Romania,Brasov,1165,8,2023-12-01,2689.5,"(12,231.6lei)"
Romania,Bucharest,6406,5,2023-12-01,2860.5,"(13,009.6lei)"
Romania,Cluj-Napoca,2189,3,2023-12-01,2921.3,"(13,286.2lei)"
Romania,Constanta,691,9,2023-12-01,3017.9,"(13,725.6lei)"
Romania,Craiova,490,7,2023-12-01,2351.9,"(10,696.5lei)"
Romania,Iasi,1385,5,2023-12-01,2545.5,"(11,577.0lei)"
Romania,Sibiu,530,6,2023-12-01,2433,"(11,065.5lei)"
Romania,Suceava,469,0,2023-12-01,2194.1,"(9,979.0lei)"
Romania,Timisoara,1012,3,2023-12-01,2564.2,"(11,662.2lei)"
Russia,Angarsk,75,7,2023-12-01,2000.8,"(179,287.0руб)"
Russia,Chelyabinsk,556,9,2023-12-01,1517.3,"(135,956.8руб)"
Russia,Irkutsk,382,3,2023-12-01,2154.5,"(193,054.0руб)"
Russia,Kazan,1099,8,2023-12-01,2043.4,"(183,104.5руб)"
Russia,Krasnodar,91,8,2023-09-01,1983.2,"(177,703.0руб)"
Russia,Krasnoyarsk,91,8,2023-09-01,2108.9,"(188,967.1руб)"
Russia,Moscow,10819,1,2023-12-01,2869.3,"(257,109.0руб)"
Russia,Nizhny Novgorod,53,7,2023-11-01,1982,"(177,599.6руб)"
Russia,Noril'sk,86,6,2023-12-01,2963.6,"(265,554.6руб)"
Russia,Novorossiysk,1442,9,2023-12-01,1788.6,"(160,272.8руб)"
Russia,Novosibirsk,1442,9,2023-12-01,2088,"(187,095.1руб)"
Russia,Perm,580,7,2023-12-01,1800.4,"(161,325.2руб)"
Russia,Petrozavodsk,247,8,2023-12-01,1818.4,"(162,937.2руб)"
Russia,Rostov-na-donu,645,2,2023-12-01,1852.9,"(166,033.5руб)"
Russia,Saint Petersburg,4545,8,2023-12-01,2290.5,"(205,238.4руб)"
Russia,Samara,687,5,2023-12-01,1992.3,"(178,522.8руб)"
Russia,Saransk,238,7,2023-12-01,1637.2,"(146,706.3руб)"
Russia,Tyumen,471,6,2023-12-01,2035.1,"(182,352.4руб)"
Russia,Ufa,576,3,2023-12-01,1837.8,"(164,681.7руб)"
Russia,Vladivostok,791,4,2023-12-01,2436.4,"(218,316.2руб)"
Russia,Yakutsk,190,2,2023-12-01,2790.5,"(250,040.6руб)"
Russia,Yegoryevsk,97,7,2023-12-01,1613.5,"(144,575.6руб)"
Russia,Yekaterinburg,879,4,2023-12-01,2123.2,"(190,253.5руб)"
Serbia,Belgrade,5270,2,2023-12-01,3203.7,"(343,546.9Дин)"
Serbia,Nis,836,4,2023-12-01,2198.1,"(235,707.3Дин)"
Serbia,Novi Sad,1792,3,2023-12-01,2803.3,"(300,609.8Дин)"
Turkey,Ankara,6254,1,2023-12-01,2273,"(68,125.9TL)"
Turkey,Antalya,3520,9,2023-12-01,2562.3,"(76,795.4TL)"
Turkey,Bursa,1590,7,2023-12-01,2044,"(61,259.8TL)"
Turkey,Eskisehir,894,8,2023-12-01,2003.9,"(60,058.9TL)"
Turkey,Istanbul,15681,7,2023-12-01,2770.3,"(83,029.3TL)"
Turkey,Izmir,4016,5,2023-12-01,2319.4,"(69,515.1TL)"
Uzbekistan,Tashkent,2004,0,2023-12-01,2242.9,"(1,300,000.0AMD)"
